"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.061824834540073884,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,128.77152267656578,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978670849837835,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12233099790049153,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12233099790049153,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Point at,1,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0033,,,2,,60,,0.00165,,,1,,0.00165,,,2.7224999999999998e-06,,,,1.2353343749999997e-13,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00165,,,1,,9,,0.00165,,,1,,0.00165,,,2.7224999999999998e-06,,,,8.235562499999998e-13,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,0.00023943987605633802,,1.6608546316046568e-05,,,2.7584381073226403e-10,,,,7.608980791929711e-22,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003825110379621034,,,,1.1345791274741222e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06184747674417311,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,128.95944462558685,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978670849837835,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12237579936971874,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12237579936971874,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Point at,2,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0036,,,2,,60,,0.0018,,,1,,0.0018,,,3.24e-06,,,,1.7496e-13,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0018,,,1,,9,,0.0018,,,1,,0.0018,,,3.24e-06,,,,1.1664e-12,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,0.00027778044444444445,,1.9268007707129093e-05,,,3.712561210019861e-10,,,,1.3783110738144134e-21,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003826145475033344,,,,1.1345830701772534e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.061855844307820616,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,129.02879992587106,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9785244914792603,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12238330290415109,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12238330290415109,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Point at,2,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0036,,,2,,60,,0.0018,,,1,,0.0018,,,3.24e-06,,,,1.7496e-13,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0018,,,1,,9,,0.0018,,,1,,0.0018,,,3.24e-06,,,,1.1664e-12,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,0.00027778044444444445,,1.9268007707129093e-05,,,3.712561210019861e-10,,,,1.3783110738144134e-21,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003826145475033344,,,,1.1345830701772534e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.061855844307820616,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,129.02879992587106,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9785244914792603,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12238330290415109,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12238330290415109,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16. Point at,5,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0046,,,2,,60,,0.0023,,,1,,0.0023,,,5.29e-06,,,,4.664016666666667e-13,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0023,,,1,,9,,0.0023,,,1,,0.0023,,,5.29e-06,,,,3.1093444444444445e-12,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-0.00013657781374306442,,-9.4736055775536e-06,,,8.974920263905469e-11,,,,8.054919374346101e-23,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038302451935264253,,,,1.1346054140383516e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.061888974733198036,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,129.30291060673878,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9785244914792603,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12244885226217343,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12244885226217343,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. Point at,10,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0059,,,2,,60,,0.00295,,,1,,0.00295,,,8.7025e-06,,,,1.2622251041666666e-12,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00295,,,1,,9,,0.00295,,,1,,0.00295,,,8.7025e-06,,,,8.414834027777777e-12,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-0.00012651360011001097,,-8.775509834220414e-06,,,7.70095728504992e-11,,,,5.930474310616343e-23,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003837070180786796,,,,1.1346664271685597e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.061944089151320936,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,129.75714465284017,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9785244914792603,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12255789748826322,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12255789748826322,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. Point at,20,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0071,,,2,,60,,0.00355,,,1,,0.00355,,,1.2602500000000002e-05,,,,2.6470501041666677e-12,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00355,,,1,,9,,0.00355,,,1,,0.00355,,,1.2602500000000002e-05,,,,1.764700069444445e-11,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-9.390100737417489e-05,,-6.513364673353171e-06,,,4.2423919368085053e-11,,,,1.7997889345497822e-23,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003844870146201143,,,,1.1347725970852259e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06200701691100083,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,130.27302984862732,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9783804054470222,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12267346725694618,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12267346725694618,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19. Point at,20,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0071,,,2,,60,,0.00355,,,1,,0.00355,,,1.2602500000000002e-05,,,,2.6470501041666677e-12,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00355,,,1,,9,,0.00355,,,1,,0.00355,,,1.2602500000000002e-05,,,,1.764700069444445e-11,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-9.390100737417489e-05,,-6.513364673353171e-06,,,4.2423919368085053e-11,,,,1.7997889345497822e-23,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003844870146201143,,,,1.1347725970852259e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06200701691100083,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,130.27302984862732,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9783804054470222,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12267346725694618,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12267346725694618,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20. Point at,50,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.011,,,2,,60,,0.0055,,,1,,0.0055,,,3.0249999999999997e-05,,,,1.5251041666666663e-11,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0055,,,1,,9,,0.0055,,,1,,0.0055,,,3.0249999999999997e-05,,,,1.016736111111111e-10,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-5.407867084461227e-05,,-3.7511216770829314e-06,,,1.4070913836281464e-11,,,,1.9799061618805715e-24,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038801651178481367,,,,1.1357389031050174e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.062290971399137265,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,132.56287427158162,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978098841924135,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12321769838696284,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12321769838696284,,,,mg,,,
